game_id,novelty_play,play_seq,recent_similar_game_id,recent_similar_play_seq
CLE199508180,5,"9, 53, K, 9, K",CHN197707060,"9, 53, K, 9, 63"
COL199508180,5,"1B, 8, 2B, BB, HR",BAL199506190,"1B, 8, 2B, BB, 54(1)3"
DET199508180,5,"7, 1B, 13, K, 1B",MON199005220,"7, 1B, 13, K, K"
MON199508180,4,"43, 5, 43, 2B",CAL198809250,"43, 5, 43, 43"
NYN199508180,5,"43, 43, BB, K, 4",SDN198004160,"43, 43, BB, K, K"
OAK199508180,5,"BB, SB2, K, 3, HBP",LAN198006030,"BB, SB2, K, 3, BB"
PHI199508180,4,"3B, 63, HR, E6",BRO192505130,"3B, 63, HR, BB"
PIT199508181,4,"K, 63, E6, 2B",MIN198404250,"K, 63, E6, 43"
PIT199508182,3,"BB, FC;NO, 64(1)3",LAN198007010,"BB, FC;NO, K"
SEA199508180,5,"1B, K, 8, 64(1), BB",MIL199109250,"1B, K, 8, 64(1), K"
SLN199508180,5,"43, 9, 1B, 43, 43",KCA198904270,"43, 9, 1B, 43, K"
TOR199508180,6,"1B, 1B, 1B, 2B, 1B, 1B",TOR198809200,"1B, 1B, 1B, 2B, 1B, K"
CAL199508190,5,"2B, K, 63, BB, 2B",SDN198906170,"2B, K, 63, BB, 4"
CHA199508190,4,"13, 53, BB, K",MON199206280,"13, 53, BB, 2B"
CIN199508190,6,"9, 43, K, 1B, 1B, 3",DET195509250,"9, 43, K, 1B, 1B, 46(1)"
CLE199508190,4,"7, 13, 8, E6",PHI199208080,"7, 13, 8, 43"
COL199508190,4,"1B, K, 64(1)3, E6",MIN199407080,"1B, K, 64(1)3, BB"
DET199508190,3,"53, HBP, 46(1)3",MON199406270,"53, HBP, 16(1)3"
MON199508190,4,"2B, 7, 1B, 46(1)3",MON199306070,"2B, 7, 1B, 1B"
NYN199508190,4,"63, 7, 2B, PB",KCA198807010,"63, 7, 2B, WP"
OAK199508190,4,"BB, 1B, 7, 2B",MON199507280,"BB, 1B, 7, K"
PHI199508190,7,"63, BB, SB2, BB, 1B, 5, 3",MIL198705120,"63, BB, SB2, BB, 1B, 5, K"
PIT199508190,5,"7, 8, 9, 1B, 9",MIL198507010,"7, 8, 9, 1B, 1B"
SEA199508190,3,"1B, HR, E7",SFN199507130,"1B, HR, 2B"
SLN199508190,4,"63, HR, 43, 8",KCA198607120,"63, HR, 43, K"
TOR199508190,4,"3B, 1B, BB, HBP",MIL199307170,"3B, 1B, BB, 1B"
CAL199508200,4,"1B, HR, 3, 8",CHN199504300,"1B, HR, 3, 53"
CHA199508200,5,"BB, SB2, 1B, 1B, SF7",CHA199505100,"BB, SB2, 1B, 1B, K"
CIN199508200,3,"1B, 4(1)3, 31",CLE199407230,"1B, 4(1)3, BB"
CLE199508200,4,"43, 1B, FC;NO, HBP",TEX199109040,"43, 1B, FC;NO, 36(1)"
COL199508200,4,"K, 9, 4, BB",OAK199108030,"K, 9, 4, 7"
DET199508200,4,"2B, 2, 63, K",ATL198007160,"2B, 2, 63, 53"
MON199508200,4,"1B, CS2, 43, 6",DET199305050,"1B, CS2, 43, 8"
NYN199508200,5,"K, 1B, K, 64(1), 43",BAL199209230,"K, 1B, K, 64(1), 8"
OAK199508200,5,"43, 63, 43, 8, BB",SEA197904040,"43, 63, 43, 8, 1B"
